seller_id,seller_zip_code_prefix,seller_city,seller_state
SLR00064,6056,Nagari,Andhra Pradesh
SLR00065,14940,Tarsali,Gujarat
SLR00066,5741,Akkarampalle,Andhra Pradesh
SLR00067,83010,Chunchupalle,Andhra Pradesh
SLR00068,3702,Akkarampalle,Andhra Pradesh
SLR00069,6429,Madanapalle,Andhra Pradesh
SLR00070,6192,Nagari,Andhra Pradesh
SLR00071,95076,Bapatla,Andhra Pradesh
SLR00072,3569,Akkarampalle,Andhra Pradesh
SLR00073,89207,Pithora,Chhattisgarh
SLR00074,38440,Khairagarh,Chhattisgarh
SLR00075,32180,Kamareddy,Andhra Pradesh
SLR00076,89258,Amadalavalasa,Andhra Pradesh
SLR00077,14940,Tarsali,Gujarat
SLR00078,9715,Adoni,Andhra Pradesh
SLR00079,9715,Adoni,Andhra Pradesh
SLR00080,95711,Amreli,Gujarat
SLR00081,15805,Duru-Verinag,Jammu & Kashmir
SLR00082,9400,Durg,Chhattisgarh
SLR00083,4726,Akkarampalle,Andhra Pradesh
SLR00084,14882,Alnavar,Karnataka
SLR00085,19830,Bowali,West Bengal
SLR00086,6713,Naspur,Andhra Pradesh
SLR00087,89160,Pahalgam,Jammu & Kashmir
SLR00088,4275,Akkarampalle,Andhra Pradesh
SLR00089,18040,Bade Bacheli,Chhattisgarh
SLR00090,21235,Badepalle,Andhra Pradesh
SLR00091,14850,Samalkota,Andhra Pradesh
SLR00092,22420,Badepalle,Andhra Pradesh
SLR00093,1125,Akkarampalle,Andhra Pradesh
SLR00094,24813,Lormi,Chhattisgarh
SLR00095,5786,Akkarampalle,Andhra Pradesh
SLR00096,15137,Chilla Saroda Bangar,Delhi
SLR00097,9190,Bheemavaram,Andhra Pradesh
SLR00098,16200,Pitapuram,Andhra Pradesh
SLR00099,3569,Akkarampalle,Andhra Pradesh
SLR00100,31730,Anantapur,Andhra Pradesh
SLR00101,20785,Badepalle,Andhra Pradesh
SLR00102,20060,Badepalle,Andhra Pradesh
SLR00103,14940,Tarsali,Gujarat
SLR00104,12401,Akkarampalle,Andhra Pradesh
SLR00105,1425,Akkarampalle,Andhra Pradesh
SLR00106,19803,Sikka,Gujarat
SLR00107,13820,Muvattupuzha,Kerala
SLR00108,14801,Singapur,Andhra Pradesh
SLR00109,27963,Nellimaria,Andhra Pradesh
SLR00110,13320,Farooqnagar,Andhra Pradesh
SLR00111,13504,Pooth Khurd,Delhi
SLR00112,86039,Kapas Hera,Delhi
SLR00113,5101,Akkarampalle,Andhra Pradesh
SLR00114,14010,Chirala,Andhra Pradesh
SLR00115,21210,Badepalle,Andhra Pradesh
SLR00116,37410,Wanaparthi,Andhra Pradesh
SLR00117,4248,Akkarampalle,Andhra Pradesh
SLR00118,15190,Sarigam INA,Gujarat
SLR00119,14940,Tarsali,Gujarat
SLR00120,3514,Akkarampalle,Andhra Pradesh
SLR00121,71070,Eddumailaram,Andhra Pradesh
SLR00122,6465,Madanapalle,Andhra Pradesh
SLR00123,1044,Akkarampalle,Andhra Pradesh
SLR00124,88870,Kannivadi,Tamil Nadu
SLR00125,70384,Eddumailaram,Andhra Pradesh
SLR00126,2310,Akkarampalle,Andhra Pradesh
SLR00127,2016,Akkarampalle,Andhra Pradesh
SLR00128,78095,Venkatagiri,Andhra Pradesh
SLR00129,13575,Guntur,Andhra Pradesh
SLR00130,1040,Akkarampalle,Andhra Pradesh
SLR00131,3322,Akkarampalle,Andhra Pradesh
SLR00132,20261,Badepalle,Andhra Pradesh
SLR00133,85830,Nandura,Maharashtra
SLR00134,23550,Badepalle,Andhra Pradesh
SLR00135,11085,Kyathampalle,Andhra Pradesh
SLR00136,3417,Akkarampalle,Andhra Pradesh
SLR00137,3417,Akkarampalle,Andhra Pradesh
SLR00138,81210,Anakapalle,Andhra Pradesh
SLR00139,8260,Akkarampalle,Andhra Pradesh
SLR00140,95995,Nagamangala,Karnataka
SLR00141,4674,Akkarampalle,Andhra Pradesh
SLR00142,14020,Chirala,Andhra Pradesh
SLR00143,36525,Kolathur,Tamil Nadu
SLR00144,95072,Bapatla,Andhra Pradesh
SLR00145,55004,Memnagar,Gujarat
SLR00146,80045,Anakapalle,Andhra Pradesh
SLR00147,14401,Adilabad,Andhra Pradesh
SLR00148,81030,Anakapalle,Andhra Pradesh
SLR00149,40243,Pedana,Andhra Pradesh
SLR00150,9951,Ongole,Andhra Pradesh
SLR00151,8573,Vijayawada,Andhra Pradesh
SLR00152,18682,Bandarulanka,Andhra Pradesh
SLR00153,7091,Bestavaripeta,Andhra Pradesh
SLR00154,6341,Jarjapupeta,Andhra Pradesh
SLR00155,76400,Dundahera,Haryana
SLR00156,88301,Sadasivpet,Andhra Pradesh
SLR00157,3280,Akkarampalle,Andhra Pradesh
SLR00158,1545,Akkarampalle,Andhra Pradesh
SLR00159,1026,Akkarampalle,Andhra Pradesh
SLR00160,80620,Anakapalle,Andhra Pradesh
SLR00161,87900,Kumhari,Chhattisgarh
SLR00162,3186,Akkarampalle,Andhra Pradesh
SLR00163,19400,Akkarampalle,Andhra Pradesh
SLR00164,2839,Akkarampalle,Andhra Pradesh
SLR00165,87014,Siddipet,Andhra Pradesh
SLR00166,1207,Akkarampalle,Andhra Pradesh
SLR00167,1411,Akkarampalle,Andhra Pradesh
SLR00168,30190,Anantapur,Andhra Pradesh
SLR00169,8502,Jaffrabad,Delhi
SLR00170,1541,Akkarampalle,Andhra Pradesh
SLR00171,13481,Kharsia,Chhattisgarh
SLR00172,11040,Kyathampalle,Andhra Pradesh
SLR00173,6436,Madanapalle,Andhra Pradesh
SLR00174,2310,Akkarampalle,Andhra Pradesh
SLR00175,35530,Gokak Falls,Karnataka
SLR00176,14080,Chirala,Andhra Pradesh
SLR00177,24355,Jaggayyapet,Andhra Pradesh
SLR00178,17700,Chhatral INA,Gujarat
SLR00179,6380,Jarjapupeta,Andhra Pradesh
SLR00180,6016,Nagari,Andhra Pradesh
SLR00181,24451,Ghatkeser,Andhra Pradesh
SLR00182,78820,Uthamapalayam,Tamil Nadu
SLR00183,78820,Uthamapalayam,Tamil Nadu
SLR00184,4009,Akkarampalle,Andhra Pradesh
SLR00185,89120,Kapra,Andhra Pradesh
SLR00186,14075,Chirala,Andhra Pradesh
SLR00187,5424,Akkarampalle,Andhra Pradesh
SLR00188,99730,Hindoria,Madhya Pradesh
SLR00189,60440,Dowleswaram,Andhra Pradesh
SLR00190,7242,Bestavaripeta,Andhra Pradesh
SLR00191,7051,Bestavaripeta,Andhra Pradesh
SLR00192,7051,Bestavaripeta,Andhra Pradesh
SLR00193,16800,Hajira INA,Gujarat
SLR00194,89228,Pithora,Chhattisgarh
SLR00195,30421,Anantapur,Andhra Pradesh
SLR00196,17056,Salur,Andhra Pradesh
SLR00197,12308,Libas Pur,Delhi
SLR00198,13304,Holalkere,Karnataka
SLR00199,85301,Bhilai Charoda,Chhattisgarh
SLR00200,3554,Akkarampalle,Andhra Pradesh
SLR00201,89560,Ahmedabad Cantonment,Gujarat
SLR00202,88058,Bhadrachalam,Andhra Pradesh
SLR00203,6853,Khambhalia,Gujarat
SLR00204,58280,Iriveri,Kerala
SLR00205,8490,Akkarampalle,Andhra Pradesh
SLR00206,35430,Bagbahara,Chhattisgarh
SLR00207,87360,Vallabh Vidhyanagar,Gujarat
SLR00208,17280,Joshipura,Gujarat
SLR00209,6653,Halol,Gujarat
SLR00210,74563,Bheemunipatnam,Andhra Pradesh
SLR00211,4821,Akkarampalle,Andhra Pradesh
SLR00212,21820,Badepalle,Andhra Pradesh
SLR00213,1026,Akkarampalle,Andhra Pradesh
SLR00214,3308,Akkarampalle,Andhra Pradesh
SLR00215,95070,Bapatla,Andhra Pradesh
SLR00216,9640,Adoni,Andhra Pradesh
SLR00217,58400,Chharchha,Chhattisgarh
SLR00218,93608,Kottuvally,Kerala
SLR00219,27525,Bugganipalle,Andhra Pradesh
SLR00220,89251,Amadalavalasa,Andhra Pradesh
SLR00221,2215,Akkarampalle,Andhra Pradesh
SLR00222,5524,Akkarampalle,Andhra Pradesh
SLR00223,22790,Badepalle,Andhra Pradesh
SLR00224,8041,Akkarampalle,Andhra Pradesh
SLR00225,5715,Akkarampalle,Andhra Pradesh
SLR00226,88032,Bhadrachalam,Andhra Pradesh
SLR00227,18055,Bade Bacheli,Chhattisgarh
SLR00228,2112,Akkarampalle,Andhra Pradesh
SLR00229,14075,Chirala,Andhra Pradesh
SLR00230,18048,Bade Bacheli,Chhattisgarh
SLR00231,9336,Chhuikhadan,Chhattisgarh
SLR00232,17030,Salur,Andhra Pradesh
SLR00233,17052,Salur,Andhra Pradesh
SLR00234,30620,Anantapur,Andhra Pradesh
SLR00235,13327,Farooqnagar,Andhra Pradesh
SLR00236,74343,Bheemunipatnam,Andhra Pradesh
SLR00237,35300,Satai,Madhya Pradesh
SLR00238,35300,Satai,Madhya Pradesh
SLR00239,21240,Badepalle,Andhra Pradesh
SLR00240,14407,Adilabad,Andhra Pradesh
SLR00241,16500,Hosanagara,Karnataka
SLR00242,2518,Akkarampalle,Andhra Pradesh
SLR00243,14050,Chirala,Andhra Pradesh
SLR00244,88730,Daitari,Orissa
SLR00245,36502,Rayadurg,Andhra Pradesh
SLR00246,9751,Adoni,Andhra Pradesh
SLR00247,9751,Adoni,Andhra Pradesh
SLR00248,14940,Tarsali,Gujarat
SLR00249,87035,Siddipet,Andhra Pradesh
SLR00250,15062,Kallur,Andhra Pradesh
SLR00251,13064,Alwal,Andhra Pradesh
SLR00252,21020,Badepalle,Andhra Pradesh
SLR00253,13660,Bannur,Karnataka
SLR00254,95660,Sindkhed Raja,Maharashtra
SLR00255,9080,Bheemavaram,Andhra Pradesh
SLR00256,89031,Mandamarri,Andhra Pradesh
SLR00257,9110,Bheemavaram,Andhra Pradesh
SLR00258,9230,Bheemavaram,Andhra Pradesh
SLR00259,3951,Akkarampalle,Andhra Pradesh
SLR00260,3172,Akkarampalle,Andhra Pradesh
SLR00261,3334,Akkarampalle,Andhra Pradesh
SLR00262,89070,Mandamarri,Andhra Pradesh
SLR00263,8773,Akkayapalle,Andhra Pradesh
SLR00264,11013,Kyathampalle,Andhra Pradesh
SLR00265,6286,Nagari,Andhra Pradesh
SLR00266,15155,Sidlaghatta,Karnataka
SLR00267,35530,Gokak Falls,Karnataka
SLR00268,74045,Bheemunipatnam,Andhra Pradesh
SLR00269,18500,Guhagar,Maharashtra
SLR00270,18048,Bade Bacheli,Chhattisgarh
SLR00271,1126,Akkarampalle,Andhra Pradesh
SLR00272,13478,Rayachoti,Andhra Pradesh
SLR00273,1303,Akkarampalle,Andhra Pradesh
SLR00274,2739,Akkarampalle,Andhra Pradesh
SLR00275,20921,Badepalle,Andhra Pradesh
SLR00276,86170,Kuchera,Rajasthan
SLR00277,14940,Tarsali,Gujarat
SLR00278,86808,Miryalguda,Andhra Pradesh
SLR00279,15046,Kallur,Andhra Pradesh
SLR00280,22230,Badepalle,Andhra Pradesh
SLR00281,87035,Siddipet,Andhra Pradesh
SLR00282,4102,Akkarampalle,Andhra Pradesh
SLR00283,7052,Bestavaripeta,Andhra Pradesh
SLR00284,16301,Vitthal Udyognagar INA,Gujarat
SLR00285,24020,Jaggayyapet,Andhra Pradesh
SLR00286,89204,Pithora,Chhattisgarh
SLR00287,83408,Devanhalli,Karnataka
SLR00288,83408,Devanhalli,Karnataka
SLR00289,26562,Gulbarga,Karnataka
SLR00290,86010,Kapas Hera,Delhi
SLR00291,86010,Kapas Hera,Delhi
SLR00292,88056,Bhadrachalam,Andhra Pradesh
SLR00293,30550,Anantapur,Andhra Pradesh
SLR00294,2820,Akkarampalle,Andhra Pradesh
SLR00295,85802,Dommara Nandyal,Andhra Pradesh
SLR00296,83830,Rohtak,Haryana
SLR00297,4508,Akkarampalle,Andhra Pradesh
SLR00298,6775,Nizamabad,Andhra Pradesh
SLR00299,1550,Akkarampalle,Andhra Pradesh
SLR00300,22783,Badepalle,Andhra Pradesh
SLR00301,81070,Anakapalle,Andhra Pradesh
SLR00302,4716,Akkarampalle,Andhra Pradesh
SLR00303,12233,Bobbili,Andhra Pradesh
SLR00304,7084,Bestavaripeta,Andhra Pradesh
SLR00305,3384,Akkarampalle,Andhra Pradesh
SLR00306,85903,Dantewada,Chhattisgarh
SLR00307,82510,Anakapalle,Andhra Pradesh
SLR00308,15081,Kallur,Andhra Pradesh
SLR00309,8411,Akkarampalle,Andhra Pradesh
SLR00310,17047,Salur,Andhra Pradesh
SLR00311,11045,Kyathampalle,Andhra Pradesh
SLR00312,85960,Begum Pur,Delhi
SLR00313,80010,Anakapalle,Andhra Pradesh
SLR00314,8710,Akkayapalle,Andhra Pradesh
SLR00315,91130,Eluru,Andhra Pradesh
SLR00316,12238,Bobbili,Andhra Pradesh
SLR00317,6236,Nagari,Andhra Pradesh
SLR00318,13203,Gaddi annaram,Andhra Pradesh
SLR00319,83800,Kanakkampalayam,Tamil Nadu
SLR00320,3551,Akkarampalle,Andhra Pradesh
SLR00321,8655,Kanuru,Andhra Pradesh
SLR00322,33200,Homnabad,Karnataka
SLR00323,80040,Anakapalle,Andhra Pradesh
SLR00324,20735,Badepalle,Andhra Pradesh
SLR00325,89031,Mandamarri,Andhra Pradesh
SLR00326,1417,Akkarampalle,Andhra Pradesh
SLR00327,98780,Paonta Sahib,Himachal Pradesh
SLR00328,15015,Kallur,Andhra Pradesh
SLR00329,14600,Kandukur,Andhra Pradesh
SLR00330,5125,Akkarampalle,Andhra Pradesh
SLR00331,81050,Anakapalle,Andhra Pradesh
SLR00332,13830,Gudibanda,Karnataka
SLR00333,1212,Akkarampalle,Andhra Pradesh
SLR00334,97502,Pandavapura,Karnataka
SLR00335,80215,Anakapalle,Andhra Pradesh
SLR00336,6703,Naspur,Andhra Pradesh
SLR00337,13480,Kharsia,Chhattisgarh
SLR00338,37400,Kathujuganapalli,Tamil Nadu
SLR00339,14940,Tarsali,Gujarat
SLR00340,4811,Akkarampalle,Andhra Pradesh
SLR00341,75640,Kothnur,Karnataka
SLR00342,3306,Akkarampalle,Andhra Pradesh
SLR00343,95034,Bapatla,Andhra Pradesh
SLR00344,30640,Anantapur,Andhra Pradesh
SLR00345,89701,Ambikapur,Chhattisgarh
SLR00346,2880,Akkarampalle,Andhra Pradesh
SLR00347,3688,Akkarampalle,Andhra Pradesh
SLR00348,74043,Bheemunipatnam,Andhra Pradesh
SLR00349,37540,Aland,Karnataka
SLR00350,81925,Anakapalle,Andhra Pradesh
SLR00351,6246,Nagari,Andhra Pradesh
SLR00352,80510,Anakapalle,Andhra Pradesh
SLR00353,80240,Anakapalle,Andhra Pradesh
SLR00354,14780,Ranavav,Gujarat
SLR00355,13330,Mehmand,Chhattisgarh
SLR00356,26525,Pampore,Jammu & Kashmir
SLR00357,9380,Chhuikhadan,Chhattisgarh
SLR00358,17580,Ashta,Madhya Pradesh
SLR00359,44895,Sevilimedu,Tamil Nadu
SLR00360,44895,Sevilimedu,Tamil Nadu
SLR00361,44895,Sevilimedu,Tamil Nadu
SLR00362,4311,Akkarampalle,Andhra Pradesh
SLR00363,11702,Mahendragarh,Haryana
SLR00364,14406,Adilabad,Andhra Pradesh
SLR00365,22783,Badepalle,Andhra Pradesh
SLR00366,89128,Balakrishnapuram,Tamil Nadu
SLR00367,2036,Akkarampalle,Andhra Pradesh
SLR00368,6038,Nagari,Andhra Pradesh
SLR00369,88351,Zahirabad,Andhra Pradesh
SLR00370,88804,Tirupati,Andhra Pradesh
SLR00371,5729,Akkarampalle,Andhra Pradesh
SLR00372,6519,Khajoori Khas,Delhi
SLR00373,6016,Nagari,Andhra Pradesh
SLR00374,89222,Pithora,Chhattisgarh
SLR00375,2252,Akkarampalle,Andhra Pradesh
SLR00376,7179,Bestavaripeta,Andhra Pradesh
SLR00377,31050,Anantapur,Andhra Pradesh
SLR00378,13480,Kharsia,Chhattisgarh
SLR00379,15805,Duru-Verinag,Jammu & Kashmir
SLR00380,89052,Mandamarri,Andhra Pradesh
SLR00381,31255,Anantapur,Andhra Pradesh
SLR00382,15704,Ratanpur,Chhattisgarh
SLR00383,20270,Badepalle,Andhra Pradesh
SLR00384,86060,Kapas Hera,Delhi
SLR00385,12944,Patancheru,Andhra Pradesh
SLR00386,69900,Hastsal,Delhi
SLR00387,86046,Kapas Hera,Delhi
SLR00388,27321,Sompeta,Andhra Pradesh
SLR00389,5632,Akkarampalle,Andhra Pradesh
SLR00390,3161,Akkarampalle,Andhra Pradesh
SLR00391,4782,Akkarampalle,Andhra Pradesh
SLR00392,14403,Adilabad,Andhra Pradesh
SLR00393,87013,Siddipet,Andhra Pradesh
SLR00394,9405,Durg,Chhattisgarh
SLR00395,2310,Akkarampalle,Andhra Pradesh
SLR00396,4363,Akkarampalle,Andhra Pradesh
SLR00397,1539,Akkarampalle,Andhra Pradesh
SLR00398,13560,Guntur,Andhra Pradesh
SLR00399,2238,Akkarampalle,Andhra Pradesh
SLR00400,15055,Kallur,Andhra Pradesh
SLR00401,82220,Anakapalle,Andhra Pradesh
SLR00402,17520,Jamul,Chhattisgarh
SLR00403,3060,Akkarampalle,Andhra Pradesh
SLR00404,9443,Durg,Chhattisgarh
SLR00405,14096,Chirala,Andhra Pradesh
SLR00406,14096,Chirala,Andhra Pradesh
SLR00407,91740,Eluru,Andhra Pradesh
SLR00408,86047,Kapas Hera,Delhi
SLR00409,85807,Dommara Nandyal,Andhra Pradesh
SLR00410,12020,Khongapani,Chhattisgarh
SLR00411,12020,Khongapani,Chhattisgarh
SLR00412,1320,Akkarampalle,Andhra Pradesh
SLR00413,12250,Maheshtala,West Bengal
SLR00414,81250,Anakapalle,Andhra Pradesh
SLR00415,29138,Banda,Madhya Pradesh
SLR00416,7145,Bestavaripeta,Andhra Pradesh
SLR00417,88107,Chinnachowk,Andhra Pradesh
SLR00418,25850,Jammalamadugu,Andhra Pradesh
SLR00419,13730,Raigarh,Chhattisgarh
SLR00420,18130,Bodhan,Andhra Pradesh
SLR00421,37900,Pantheeramkavu,Kerala
SLR00422,14940,Tarsali,Gujarat
SLR00423,85603,Halvad,Gujarat
SLR00424,3821,Akkarampalle,Andhra Pradesh
SLR00425,36512,Perumagalur,Tamil Nadu
SLR00426,76400,Dundahera,Haryana
SLR00427,87083,Siddipet,Andhra Pradesh
SLR00428,74473,Bheemunipatnam,Andhra Pradesh
SLR00429,21931,Badepalle,Andhra Pradesh
SLR00430,14055,Chirala,Andhra Pradesh
SLR00431,88210,Kavisuryanagar,Orissa
SLR00432,13105,Alwal,Andhra Pradesh
SLR00433,26255,Gudivada,Andhra Pradesh
SLR00434,3343,Akkarampalle,Andhra Pradesh
SLR00435,17512,Jamul,Chhattisgarh
SLR00436,88820,Chuari Khas,Himachal Pradesh
SLR00437,3543,Akkarampalle,Andhra Pradesh
SLR00438,95910,Khan Sahib,Jammu & Kashmir
SLR00439,3694,Akkarampalle,Andhra Pradesh
SLR00440,3029,Akkarampalle,Andhra Pradesh
SLR00441,37540,Aland,Karnataka
SLR00442,13042,Alwal,Andhra Pradesh
SLR00443,1201,Akkarampalle,Andhra Pradesh
SLR00444,9230,Bheemavaram,Andhra Pradesh
SLR00445,88359,Zahirabad,Andhra Pradesh
SLR00446,98920,Shahkot,Punjab
SLR00447,4364,Akkarampalle,Andhra Pradesh
SLR00448,3416,Akkarampalle,Andhra Pradesh
SLR00449,9350,Chhuikhadan,Chhattisgarh
SLR00450,1214,Akkarampalle,Andhra Pradesh
SLR00451,2880,Akkarampalle,Andhra Pradesh
SLR00452,9220,Bheemavaram,Andhra Pradesh
SLR00453,18110,Palakurthi,Andhra Pradesh
SLR00454,35530,Gokak Falls,Karnataka
SLR00455,93700,Pasighat,Arunachal Pradesh
SLR00456,3659,Akkarampalle,Andhra Pradesh
SLR00457,1123,Akkarampalle,Andhra Pradesh
SLR00458,15910,Naraingarh,Haryana
SLR00459,3103,Akkarampalle,Andhra Pradesh
SLR00460,14078,Chirala,Andhra Pradesh
SLR00461,15601,Gagret,Himachal Pradesh
SLR00462,89041,Mandamarri,Andhra Pradesh
SLR00463,17500,Jamul,Chhattisgarh
SLR00464,84010,Champa,Chhattisgarh
SLR00465,7093,Bestavaripeta,Andhra Pradesh
SLR00466,31560,Anantapur,Andhra Pradesh
SLR00467,13920,Jalalpore,Gujarat
SLR00468,86800,Miryalguda,Andhra Pradesh
SLR00469,7062,Bestavaripeta,Andhra Pradesh
SLR00470,88351,Zahirabad,Andhra Pradesh
SLR00471,8550,Ichchhapor,Gujarat
SLR00472,3471,Akkarampalle,Andhra Pradesh
SLR00473,87047,Siddipet,Andhra Pradesh
SLR00474,82040,Anakapalle,Andhra Pradesh
SLR00475,15025,Kallur,Andhra Pradesh
SLR00476,35500,Jallaram Kamanpur,Andhra Pradesh
SLR00477,35500,Jallaram Kamanpur,Andhra Pradesh
SLR00478,92025,Vepagunta,Andhra Pradesh
SLR00479,13310,Holalkere,Karnataka
SLR00480,89217,Pithora,Chhattisgarh
SLR00481,13375,Natrampalli,Tamil Nadu
SLR00482,9628,Adoni,Andhra Pradesh
SLR00483,6539,Khajoori Khas,Delhi
SLR00484,81350,Anakapalle,Andhra Pradesh
SLR00485,86040,Kapas Hera,Delhi
SLR00486,14405,Adilabad,Andhra Pradesh
SLR00487,35700,Utran,Gujarat
SLR00488,37165,Khariar,Orissa
SLR00489,85904,Dantewada,Chhattisgarh
SLR00490,8780,Akkayapalle,Andhra Pradesh
SLR00491,13219,Gaddi annaram,Andhra Pradesh
SLR00492,17509,Jamul,Chhattisgarh
SLR00493,60741,Dowleswaram,Andhra Pradesh
SLR00494,3311,Akkarampalle,Andhra Pradesh
SLR00495,13490,Karuvanthuruthy,Kerala
SLR00496,38410,Gajularega,Andhra Pradesh
SLR00497,75123,Gaurella,Chhattisgarh
SLR00498,14092,Chirala,Andhra Pradesh
SLR00499,15085,Kallur,Andhra Pradesh
SLR00500,4578,Akkarampalle,Andhra Pradesh
SLR00501,91310,Eluru,Andhra Pradesh
SLR00502,20756,Badepalle,Andhra Pradesh
SLR00503,1233,Akkarampalle,Andhra Pradesh
SLR00504,8223,Akkarampalle,Andhra Pradesh
SLR00505,4782,Akkarampalle,Andhra Pradesh
SLR00506,83402,Devanhalli,Karnataka
SLR00507,9920,Ongole,Andhra Pradesh
SLR00508,13419,Bellampalle,Andhra Pradesh
SLR00509,20021,Badepalle,Andhra Pradesh
SLR00510,18072,Bade Bacheli,Chhattisgarh
SLR00511,13456,Jatari,Uttar Pradesh
SLR00512,13920,Jalalpore,Gujarat
SLR00513,86702,Renigunta,Andhra Pradesh
SLR00514,27277,Serilingampalle,Andhra Pradesh
SLR00515,13660,Bannur,Karnataka
SLR00516,89030,Mandamarri,Andhra Pradesh
SLR00517,6787,Nizamabad,Andhra Pradesh
SLR00518,6787,Nizamabad,Andhra Pradesh
SLR00519,16072,Secunderabad,Andhra Pradesh
SLR00520,81830,Anakapalle,Andhra Pradesh
SLR00521,74210,Bheemunipatnam,Andhra Pradesh
SLR00522,16200,Pitapuram,Andhra Pradesh
SLR00523,18070,Bade Bacheli,Chhattisgarh
SLR00524,37580,Tirthahalli,Karnataka
SLR00525,13073,Alwal,Andhra Pradesh
SLR00526,89248,Kadipur,Uttar Pradesh
SLR00527,38650,Rampur Baghelan,Madhya Pradesh
SLR00528,13150,Bedi,Gujarat
SLR00529,14092,Chirala,Andhra Pradesh
SLR00530,15800,Duru-Verinag,Jammu & Kashmir
SLR00531,1215,Akkarampalle,Andhra Pradesh
SLR00532,24451,Ghatkeser,Andhra Pradesh
SLR00533,4386,Akkarampalle,Andhra Pradesh
SLR00534,5547,Akkarampalle,Andhra Pradesh
SLR00535,21070,Badepalle,Andhra Pradesh
SLR00536,37706,Kurnool,Andhra Pradesh
SLR00537,24725,Ghatkeser,Andhra Pradesh
SLR00538,13160,Ahiwara,Chhattisgarh
SLR00539,11015,Kyathampalle,Andhra Pradesh
SLR00540,4209,Akkarampalle,Andhra Pradesh
SLR00541,30575,Anantapur,Andhra Pradesh
SLR00542,6513,Khajoori Khas,Delhi
SLR00543,20520,Badepalle,Andhra Pradesh
SLR00544,58030,Gheora,Delhi
SLR00545,17300,Hatti,Karnataka
SLR00546,89245,Baikunthpur,Chhattisgarh
SLR00547,1220,Akkarampalle,Andhra Pradesh
SLR00548,90230,Eluru,Andhra Pradesh
SLR00549,83075,Chunchupalle,Andhra Pradesh
SLR00550,31570,Anantapur,Andhra Pradesh
SLR00551,36500,Rayadurg,Andhra Pradesh
SLR00552,36500,Rayadurg,Andhra Pradesh
SLR00553,84035,Champa,Chhattisgarh
