product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_name
PRD00058,Cool_Stuff,58,1252,1,1100,30,20,23,Portable LED String Light
PRD00059,Stationery,49,488,3,1400,38,40,39,Elegant Stationery Set
PRD00060,Toys,50,423,4,250,20,14,12,Eco Action Figure
PRD00061,Sports_Leisure,47,956,1,1050,25,20,14,Fresh Hiking Backpack
PRD00062,Stationery,59,144,1,500,24,7,16,Portable Stationery Piece
PRD00063,Health_Beauty,51,1069,1,1467,23,16,20,Modern Face Cream
PRD00064,Fashion_Bags_Accessories,50,554,3,100,16,5,11,Compact Fashion Bags Accessories
PRD00065,Stationery,41,92,1,100,16,5,16,Soft Stationery Pack
PRD00066,Stationery,43,198,2,300,23,7,15,Compact Stationery Edition
PRD00067,Sports_Leisure,50,255,2,950,60,15,15,Advanced Skipping Rope
PRD00068,Garden_Tools,33,200,1,250,17,3,11,Pro Plant Pot
PRD00069,Computers,55,1067,1,12000,27,50,53,Ultra Computers Pack
PRD00070,Auto,60,1543,6,921,17,9,16,Eco Seat Cover Set
PRD00071,Home_Construction,55,1441,1,10000,60,25,25,Premium Home Construction Item
PRD00072,Watches_Gifts,56,489,2,250,16,11,11,Ergonomic Watch Strap
PRD00073,Cool_Stuff,57,992,3,1200,44,20,20,Compact Mini Gadget
PRD00074,Construction_Tools_Construction,54,339,1,4800,25,8,25,Soft Construction Tools Construction
PRD00075,Pet_Shop,54,463,1,700,40,20,20,Advanced Harness
PRD00076,Health_Beauty,40,1469,3,1050,18,21,27,Ergonomic Face Wash
PRD00077,Small_Appliances,58,587,3,350,20,20,20,Eco Juicer
PRD00078,Perfumery,52,150,1,422,21,16,18,Wireless Scent Set
PRD00079,Watches_Gifts,51,484,1,317,19,13,16,Sturdy Analog Watch
PRD00080,Agro_Industry_And_Commerce,39,430,1,16400,63,66,56,Fresh Agro Industry And Commerce
PRD00081,Health_Beauty,22,1313,1,938,29,22,23,Smart Body Lotion
PRD00082,Health_Beauty,37,1168,1,2700,21,16,31,Fresh Body Lotion
PRD00083,Bed_Bath_Table,39,1146,1,1750,30,18,30,Elegant Bedsheet Set
PRD00084,Garden_Tools,42,671,1,3850,29,12,24,Elegant Watering Can
PRD00085,Perfumery,49,460,2,267,17,13,17,Modern Fragrance Spray
PRD00086,Musical_Instruments,59,2367,3,16200,55,40,40,Essential Acoustic Guitar
PRD00087,Bed_Bath_Table,54,381,2,1400,38,9,27,Classic Comforter
PRD00088,Bed_Bath_Table,50,607,1,6450,100,10,11,Premium Bedsheet Set
PRD00089,Furniture_Decor,59,1750,3,2300,105,3,70,Eco Storage Cabinet
PRD00090,Computers_Accessories,55,163,2,300,25,8,18,Smart Webcam
PRD00091,Sports_Leisure,43,101,1,600,50,10,12,Wireless Cricket Kit
PRD00092,Health_Beauty,60,2497,1,3600,20,20,20,Ultra Face Cream
PRD00093,Health_Beauty,60,1146,6,150,20,24,33,Wireless Vitamin Supplement
PRD00094,Sports_Leisure,57,900,4,400,16,4,11,Eco Skipping Rope
PRD00095,Telephony,49,319,1,100,18,6,11,Advanced Telephony Bundle
PRD00096,Furniture_Decor,55,1186,2,800,53,8,20,Advanced Storage Cabinet
PRD00097,Auto,58,703,6,5250,47,19,23,Smart Dashboard Cleaner
PRD00098,Auto,50,361,1,200,35,4,26,Portable Car Phone Holder
PRD00099,Watches_Gifts,58,899,2,335,17,11,12,Portable Watch Strap
PRD00100,Bed_Bath_Table,49,701,1,1300,50,12,12,Deluxe Table Runner
PRD00101,Furniture_Decor,47,1405,3,150,35,2,25,Eco Side Table
PRD00102,Computers_Accessories,59,504,3,367,16,4,11,Essential Wireless Mouse
PRD00103,Watches_Gifts,57,276,4,250,16,2,11,Portable Gift Set
PRD00104,Furniture_Decor,46,287,1,8500,75,25,55,Lightweight Wall Decor Light
PRD00105,Baby,46,1039,1,2150,42,25,15,Elegant Baby Blanket
PRD00106,Sports_Leisure,56,663,4,150,16,5,11,Advanced Tennis Racket
PRD00107,Bed_Bath_Table,39,170,1,650,27,10,22,Heavy-Duty Bath Towel
PRD00108,Small_Appliances,53,794,4,2700,20,26,32,Lightweight Sandwich Maker
PRD00109,Housewares,56,414,1,1200,23,22,16,Ultra Cutlery Set
PRD00110,Furniture_Living_Room,36,312,2,6050,55,10,46,Modern Furniture Living Room Bundle
PRD00111,Sports_Leisure,53,425,1,150,16,6,11,Pro Cricket Kit
PRD00112,Home_Construction,58,918,6,1050,16,20,16,Lightweight Home Construction Edition
PRD00113,Pet_Shop,36,617,1,1350,23,7,30,Pro Cat Scratcher
PRD00114,Housewares,41,270,1,600,36,6,19,Elegant Kitchen Organizer
PRD00115,Furniture_Decor,22,275,1,1000,30,18,18,Fresh Wall Decor Light
PRD00116,Bed_Bath_Table,58,381,2,1550,43,8,33,Elegant Bath Towel
PRD00117,Bed_Bath_Table,58,223,1,2700,45,13,35,Portable Comforter
PRD00118,Telephony,63,1930,9,200,19,5,11,Premium Telephony Accessory
PRD00119,Luggage_Accessories,51,244,1,800,38,8,28,Compact Travel Duffel
PRD00120,Perfumery,56,733,3,377,18,13,15,Compact Fragrance Spray
PRD00121,Sports_Leisure,52,1049,3,400,45,22,43,Wireless Hiking Backpack
PRD00122,Signaling_And_Security,51,1212,1,450,16,5,16,Advanced Signaling And Security
PRD00123,Air_Conditioning,30,547,1,2000,32,51,16,Smart Air Conditioning
PRD00124,Fashion_Bags_Accessories,53,1398,1,300,16,2,11,Essential Fashion Bags Accessories
PRD00125,Furniture_Decor,34,160,1,250,26,14,14,Portable Wall Decor Light
PRD00126,Sports_Leisure,57,245,2,1950,60,15,15,Wireless Tennis Racket
PRD00127,Telephony,50,1254,2,500,16,15,11,Portable Telephony Set
PRD00128,Art,59,1431,6,7900,70,15,70,Ultra Sketch Book
PRD00129,Bed_Bath_Table,53,261,2,1800,41,9,34,Fresh Bedsheet Set
PRD00130,Garden_Tools,60,884,1,900,37,3,23,Portable Garden Shovel
PRD00131,Fashion_Bags_Accessories,52,68,7,200,16,2,11,Essential Fashion Bags Accessories
PRD00132,Baby,30,410,4,4500,80,70,28,Fresh Baby Blanket
PRD00133,Consoles_Games,48,303,3,250,21,7,15,Ultra Consoles Games
PRD00134,Housewares,59,943,1,550,16,25,12,Modern Glass Storage Jar
PRD00135,Luggage_Accessories,49,540,4,1100,39,12,28,Premium Trolley Bag
PRD00136,Bed_Bath_Table,53,222,1,3600,40,20,40,Ergonomic Bath Towel
PRD00137,Consoles_Games,56,235,1,100,16,3,11,Eco Consoles Games Unit
PRD00138,Sports_Leisure,50,329,2,150,16,18,16,Wireless Tennis Racket
PRD00139,Sports_Leisure,55,144,1,3775,18,13,16,Advanced Skipping Rope
PRD00140,Cool_Stuff,59,797,2,1400,25,20,20,Heavy-Duty Mini Gadget
PRD00141,Consoles_Games,53,439,5,900,22,7,18,Premium Consoles Games
PRD00142,Watches_Gifts,60,438,2,250,20,12,20,Lightweight Analog Watch
PRD00143,Toys,55,852,1,350,21,9,16,Soft Building Blocks
PRD00144,Baby,39,805,3,1800,18,32,27,Elegant Feeding Bottle
PRD00145,Furniture_Living_Room,52,420,2,5050,50,8,50,Deluxe Furniture Living Room
PRD00146,Auto,58,386,1,27100,50,50,50,Pro Tyre Inflator
PRD00147,Home_Appliances,50,273,1,1500,65,8,38,Essential Air Purifier
PRD00148,Watches_Gifts,43,572,2,500,16,11,11,Heavy-Duty Gift Set
PRD00149,Bed_Bath_Table,52,700,2,350,16,10,16,Eco Table Runner
PRD00150,Auto,47,1548,3,500,16,12,17,Advanced Car Phone Holder
PRD00151,Sports_Leisure,55,448,1,1000,20,20,20,Ergonomic Skipping Rope
PRD00152,Toys,51,410,2,300,24,11,24,Soft Doll Set
PRD00153,Health_Beauty,59,257,1,250,16,2,20,Eco Face Wash
PRD00154,Health_Beauty,51,863,1,10700,40,40,40,Eco Face Wash
PRD00155,Housewares,29,290,1,1700,32,21,22,Lightweight Kitchen Organizer
PRD00156,Garden_Tools,31,680,1,7700,39,28,25,Sturdy Watering Can
PRD00157,Sports_Leisure,57,785,4,5200,20,60,35,Wireless Hiking Backpack
PRD00158,Telephony,51,244,1,125,17,10,14,Eco Telephony Set
PRD00159,Office_Furniture,50,2220,1,15700,58,28,58,Eco Office Desk
PRD00160,Watches_Gifts,53,599,2,350,16,11,11,Wireless Watch Strap
PRD00161,Sports_Leisure,57,649,1,213,16,10,13,Heavy-Duty Yoga Mat
PRD00162,Fashion_Bags_Accessories,30,401,3,150,16,11,11,Lightweight Fashion Bags Accessories
PRD00163,Auto,35,907,3,18200,56,15,15,Heavy-Duty Tyre Inflator
PRD00164,Housewares,38,390,1,850,18,21,15,Smart Mixing Bowl
PRD00165,Home_Construction,55,918,6,1050,16,20,16,Elegant Home Construction
PRD00166,Fashion_Bags_Accessories,48,382,5,200,16,9,11,Smart Fashion Bags Accessories
PRD00167,Housewares,32,42,1,300,16,15,11,Sturdy Kitchen Organizer
PRD00168,Computers_Accessories,47,764,1,200,23,9,13,Premium Webcam
PRD00169,Sports_Leisure,52,406,1,800,20,25,25,Sturdy Yoga Mat
PRD00170,Stationery,50,198,2,200,24,7,14,Wireless Stationery Accessory
PRD00171,Sports_Leisure,50,853,1,698,46,10,14,Wireless Tennis Racket
PRD00172,Telephony,59,776,6,350,17,4,12,Elegant Telephony Edition
PRD00173,Books_General_Interest,50,2913,3,1000,24,5,17,Heavy-Duty Books General Interest
PRD00174,Computers_Accessories,53,585,1,783,21,13,28,Lightweight Laptop Stand
PRD00175,Perfumery,48,1063,2,600,20,20,20,Lightweight Eau De Toilette
PRD00176,Toys,47,181,1,11650,55,30,30,Heavy-Duty Action Figure
PRD00177,Costruction_Tools_Tools,42,369,1,400,16,2,11,Eco Costruction Tools Tools Item
PRD00178,Toys,25,274,1,3050,40,10,40,Smart Puzzle Game
PRD00179,Telephony,50,744,1,100,16,3,11,Sturdy Telephony Piece
PRD00180,Garden_Tools,44,2395,1,16500,40,25,26,Ultra Pruning Shears
PRD00181,Housewares,59,470,2,750,34,14,24,Soft Glass Storage Jar
PRD00182,Fashion_Underwear_Beach,39,422,1,250,36,4,20,Deluxe Fashion Underwear Beach
PRD00183,Luggage_Accessories,59,413,3,2300,84,14,20,Eco Travel Duffel
PRD00184,Electronics,37,374,1,1350,33,12,26,Eco LED Monitor
PRD00185,Housewares,22,388,3,530,17,20,20,Eco Cutlery Set
PRD00186,Auto,59,162,1,1300,20,20,20,Pro Dashboard Cleaner
PRD00187,Fashion_Shoes,59,605,5,4000,57,14,36,Fresh Running Shoes
PRD00188,Sports_Leisure,52,234,4,8150,20,20,20,Modern Skipping Rope
PRD00189,Construction_Tools_Construction,57,272,1,2200,16,2,11,Soft Construction Tools Construction
PRD00190,Health_Beauty,55,1029,1,1150,20,25,20,Fresh Face Wash
PRD00191,Watches_Gifts,60,312,4,200,16,2,11,Soft Gift Set
PRD00192,Furniture_Decor,60,1068,3,400,16,20,16,Advanced Wall Decor Light
PRD00193,Furniture_Decor,63,244,4,600,29,12,23,Ultra Bookshelf
PRD00194,Bed_Bath_Table,48,645,1,1200,16,10,16,Premium Pillow Cover Set
PRD00195,Cool_Stuff,50,268,5,10664,61,63,35,Heavy-Duty Smart Keychain
PRD00196,Housewares,43,2148,2,1800,50,12,36,Sturdy Mixing Bowl
PRD00197,Sports_Leisure,47,154,3,500,16,2,11,Fresh Yoga Mat
PRD00198,Stationery,48,501,1,258,19,12,19,Lightweight Stationery Accessory
PRD00199,Stationery,59,209,1,1400,16,44,37,Lightweight Stationery Bundle
PRD00200,Toys,59,640,1,400,35,7,35,Smart Race Car Set
PRD00201,Air_Conditioning,58,655,5,1300,30,10,30,Smart Air Conditioning Item
PRD00202,Bed_Bath_Table,55,315,2,1000,30,10,25,Compact Bedsheet Set
PRD00203,Pet_Shop,52,1290,3,1300,30,10,18,Classic Cat Scratcher
PRD00204,Toys,58,443,2,3305,38,36,19,Compact Building Blocks
PRD00205,Baby,55,224,2,6000,75,15,50,Soft Feeding Bottle
PRD00206,Computers_Accessories,50,281,4,300,35,5,25,Fresh USB Hub
PRD00207,Bed_Bath_Table,57,74,1,250,20,2,15,Heavy-Duty Bath Towel
PRD00208,Perfumery,45,1003,2,400,18,11,11,Ergonomic Scent Set
PRD00209,Electronics,32,1274,1,250,16,10,30,Essential Over-Ear Headphones
PRD00210,Toys,57,1532,2,1250,29,19,22,Compact Race Car Set
PRD00211,Fashion_Male_Clothing,47,1026,2,950,40,6,40,Modern Fashion Male Clothing Set
PRD00212,Pet_Shop,54,261,6,2000,30,34,17,Ultra Pet Shampoo
PRD00213,Baby,56,1395,7,13575,71,81,44,Premium Cotton Bib Set
PRD00214,Health_Beauty,60,537,1,667,17,16,16,Compact Face Cream
PRD00215,Watches_Gifts,55,457,2,267,17,11,12,Wireless Analog Watch
PRD00216,Bed_Bath_Table,60,609,2,1750,45,20,40,Ultra Bath Towel
PRD00217,Health_Beauty,52,1113,1,150,16,12,11,Smart Hair Serum
PRD00218,Toys,48,135,1,10550,65,7,45,Premium Puzzle Game
PRD00219,Housewares,57,1298,1,1725,100,35,16,Heavy-Duty Cutlery Set
PRD00220,Luggage_Accessories,43,215,1,700,45,10,31,Compact Neck Pillow
PRD00221,Sports_Leisure,29,1318,1,400,34,16,16,Eco Tennis Racket
PRD00222,Stationery,23,146,3,300,30,10,20,Lightweight Stationery Set
PRD00223,Home_Construction,59,1582,1,5850,60,25,25,Modern Home Construction Item
PRD00224,Watches_Gifts,47,687,1,267,17,11,13,Classic Gift Set
PRD00225,Bed_Bath_Table,53,155,2,1500,39,12,25,Elegant Bath Towel
PRD00226,Cool_Stuff,42,727,1,400,24,16,14,Deluxe Smart Keychain
PRD00227,Sports_Leisure,54,3830,1,1300,31,32,31,Elegant Tennis Racket
PRD00228,Housewares,58,172,1,400,16,10,14,Sturdy Cutlery Set
PRD00229,Art,32,195,1,150,25,2,19,Modern Wall Frame
PRD00230,Health_Beauty,40,654,1,650,25,13,14,Advanced Hair Serum
PRD00231,Consoles_Games,44,421,1,706,32,8,38,Classic Consoles Games Set
PRD00232,Fashion_Bags_Accessories,59,251,1,300,25,10,25,Lightweight Fashion Bags Accessories
PRD00233,Bed_Bath_Table,41,242,1,4850,75,5,50,Elegant Comforter
PRD00234,Auto,51,1741,1,825,20,24,15,Portable Tyre Inflator
PRD00235,Computers_Accessories,31,432,1,600,46,3,15,Sturdy Keyboard
PRD00236,Sports_Leisure,53,527,2,700,23,9,11,Soft Yoga Mat
PRD00237,Furniture_Decor,51,1442,1,300,40,10,27,Heavy-Duty Floor Lamp
PRD00238,Housewares,55,471,2,1270,17,14,17,Lightweight Mixing Bowl
PRD00239,Costruction_Tools_Tools,40,338,1,450,20,2,11,Pro Costruction Tools Tools Bundle
PRD00240,Home_Appliances,56,173,1,150,18,8,13,Elegant Vacuum Cleaner
PRD00241,Garden_Tools,49,192,1,200,16,3,11,Fresh Garden Shovel
PRD00242,Kitchen_Dining_Laundry_Garden_Furniture,50,859,1,10893,33,88,44,Eco Kitchen Dining Laundry Garden Furniture Accessory
PRD00243,Housewares,53,524,1,1800,25,7,20,Ultra Dinner Plate Set
PRD00244,Toys,29,566,2,1220,20,33,22,Soft Action Figure
PRD00245,Health_Beauty,53,1368,6,360,30,19,22,Classic Vitamin Supplement
PRD00246,Electronics,52,424,1,175,22,11,15,Fresh Bluetooth Speaker
PRD00247,Pet_Shop,50,852,1,1900,50,13,70,Deluxe Harness
PRD00248,Sports_Leisure,37,621,5,250,20,20,20,Pro Tennis Racket
PRD00249,Baby,58,1261,3,6950,85,11,50,Classic Cotton Bib Set
PRD00250,Housewares,57,1094,1,1100,55,5,40,Modern Mixing Bowl
PRD00251,Baby,64,882,5,300,17,7,24,Compact Feeding Bottle
PRD00252,Office_Furniture,41,2261,1,16500,58,28,58,Premium Foot Rest
PRD00253,Luggage_Accessories,28,453,1,300,16,23,19,Advanced Packing Cube Set
PRD00254,Electronics,25,813,1,1836,61,6,24,Heavy-Duty LED Monitor
PRD00255,Health_Beauty,59,822,1,175,18,22,16,Pro Hair Serum
PRD00256,Toys,53,579,1,675,22,24,21,Deluxe Race Car Set
PRD00257,Sports_Leisure,58,568,4,200,26,5,20,Advanced Hiking Backpack
PRD00258,Industry_Commerce_And_Business,58,1058,1,1200,30,20,30,Premium POS Receipt Printer
PRD00259,Computers_Accessories,32,1074,2,200,39,2,30,Fresh USB Hub
PRD00260,Office_Furniture,46,1193,2,16100,63,61,24,Portable Ergonomic Chair
PRD00261,Telephony,51,443,1,117,19,4,12,Lightweight Telephony Bundle
PRD00262,Fixed_Telephony,27,1217,1,455,36,18,27,Premium Fixed Telephony
PRD00263,Bed_Bath_Table,55,613,1,550,16,10,16,Compact Bedsheet Set
PRD00264,Fashion_Shoes,54,404,4,750,22,12,33,Eco Running Shoes
PRD00265,Cool_Stuff,43,447,2,586,18,11,13,Ergonomic Novelty Mug
PRD00266,Construction_Tools_Lights,57,919,6,540,16,27,16,Deluxe Construction Tools Lights
PRD00267,Sports_Leisure,42,2819,1,3700,30,20,20,Pro Cricket Kit
PRD00268,Housewares,57,623,4,3150,30,17,30,Ergonomic Dinner Plate Set
PRD00269,Bed_Bath_Table,57,296,1,2100,53,27,40,Eco Comforter
PRD00270,Construction_Tools_Safety,51,1006,3,314,20,19,18,Fresh Drill Bit Set
PRD00271,Bed_Bath_Table,49,153,1,550,23,15,23,Portable Pillow Cover Set
PRD00272,Auto,55,978,1,13825,70,35,49,Deluxe Seat Cover Set
PRD00273,Bed_Bath_Table,42,431,1,850,40,6,50,Eco Comforter
PRD00274,Baby,19,200,1,250,21,4,13,Lightweight Baby Blanket
PRD00275,Toys,55,1475,1,400,20,20,20,Lightweight Puzzle Game
PRD00276,Perfumery,48,606,2,400,16,20,15,Lightweight Eau De Toilette
PRD00277,Consoles_Games,25,211,1,200,16,2,16,Premium Consoles Games Edition
PRD00278,Auto,60,1023,5,250,20,20,20,Pro Tyre Inflator
PRD00279,Computers_Accessories,53,813,4,1950,17,11,12,Premium Wireless Mouse
PRD00280,Furniture_Decor,49,607,1,300,35,10,25,Eco Side Table
PRD00281,Watches_Gifts,54,364,1,1050,30,45,11,Smart Gift Set
PRD00282,Auto,53,1373,4,400,16,7,11,Sturdy Dashboard Cleaner
PRD00283,Musical_Instruments,40,234,1,1000,56,9,22,Classic Violin
PRD00284,Sports_Leisure,39,772,1,150,16,16,11,Heavy-Duty Yoga Mat
PRD00285,Health_Beauty,60,876,1,700,16,16,16,Portable Vitamin Supplement
PRD00286,Consoles_Games,47,358,3,450,17,7,17,Ultra Consoles Games
PRD00287,Health_Beauty,29,556,1,2000,30,12,16,Heavy-Duty Face Wash
PRD00288,Construction_Tools_Construction,57,954,4,21400,20,20,20,Ultra Construction Tools Construction Kit
PRD00289,Computers_Accessories,52,2515,1,188,20,16,15,Compact Laptop Stand
PRD00290,Furniture_Decor,56,646,1,300,16,30,20,Compact Side Table
PRD00291,Fashion_Bags_Accessories,38,487,2,13600,26,60,40,Elegant Fashion Bags Accessories Item
PRD00292,Furniture_Decor,50,1342,3,800,25,25,25,Sturdy Wall Decor Light
PRD00293,Furniture_Decor,49,600,2,1400,65,12,12,Fresh Floor Lamp
PRD00294,Watches_Gifts,50,295,1,650,13,11,12,Portable Analog Watch
PRD00295,Construction_Tools_Construction,37,2457,1,600,26,17,17,Wireless Construction Tools Construction Bundle
PRD00296,Furniture_Decor,58,1969,2,3000,69,11,11,Ultra Wall Decor Light
PRD00297,Luggage_Accessories,45,224,1,950,46,10,33,Eco Luggage Tag Set
PRD00298,Furniture_Decor,51,582,2,17400,42,35,42,Compact Bookshelf
PRD00299,Fashion_Male_Clothing,36,940,2,300,16,2,11,Eco Fashion Male Clothing Bundle
PRD00300,Computers_Accessories,52,1224,2,700,20,20,20,Portable Wireless Mouse
PRD00301,Pet_Shop,56,1545,2,625,21,16,17,Portable Dog Leash
PRD00302,Garden_Tools,44,586,3,3250,32,14,22,Smart Pruning Shears
PRD00303,Fashion_Shoes,57,404,2,1500,22,12,33,Portable Casual Sneakers
PRD00304,Bed_Bath_Table,54,228,1,250,32,3,23,Lightweight Pillow Cover Set
PRD00305,Garden_Tools,41,198,1,425,31,6,12,Sturdy Pruning Shears
PRD00306,Air_Conditioning,56,1161,1,150,20,8,13,Smart Air Conditioning
PRD00307,Furniture_Decor,56,2028,3,350,68,8,13,Elegant Storage Cabinet
PRD00308,Fashion_Shoes,44,284,12,300,29,7,16,Ultra Loafers
PRD00309,Telephony,49,276,12,100,19,3,11,Premium Telephony Unit
PRD00310,Auto,55,1658,3,550,16,21,18,Sturdy Bike Helmet
PRD00311,Auto,59,1250,1,250,16,27,15,Lightweight Car Phone Holder
PRD00312,Auto,60,1541,1,1000,26,40,20,Compact Dashboard Cleaner
PRD00313,Housewares,55,998,3,14850,35,102,35,Elegant Mixing Bowl
PRD00314,Baby,46,726,3,850,42,25,15,Ultra Feeding Bottle
PRD00315,Consoles_Games,56,3354,4,1850,28,14,19,Lightweight Consoles Games
PRD00316,Fashion_Bags_Accessories,54,1399,1,300,16,2,11,Eco Fashion Bags Accessories Bundle
PRD00317,Telephony,61,212,1,200,19,4,11,Compact Telephony Edition
PRD00318,Health_Beauty,46,803,1,150,22,3,15,Advanced Face Cream
PRD00319,Sports_Leisure,55,1392,1,900,16,16,16,Portable Hiking Backpack
PRD00320,Garden_Tools,52,497,1,1900,44,19,19,Fresh Plant Pot
PRD00321,Bed_Bath_Table,50,171,1,1450,45,10,15,Modern Bedsheet Set
PRD00322,Books_Technical,54,1162,1,1100,29,3,21,Sturdy Books Technical Set
PRD00323,Sports_Leisure,54,1241,5,200,16,11,11,Deluxe Skipping Rope
PRD00324,Sports_Leisure,43,1440,1,12600,20,10,20,Soft Hiking Backpack
PRD00325,Health_Beauty,21,1000,1,1450,25,25,16,Fresh Hair Serum
PRD00326,Cool_Stuff,49,733,3,800,42,25,15,Smart Smart Keychain
PRD00327,Perfumery,50,749,1,1300,22,14,14,Premium Aroma Mist
PRD00328,Health_Beauty,45,802,1,150,22,3,15,Essential Hair Serum
PRD00329,Electronics,40,549,1,200,20,20,20,Smart Over-Ear Headphones
PRD00330,Garden_Tools,60,1177,3,11450,23,43,35,Premium Garden Shovel
PRD00331,Furniture_Decor,54,220,2,2200,20,20,20,Compact Bookshelf
PRD00332,Home_Appliances_2,38,2030,2,13200,66,19,67,Fresh Home Appliances 2
PRD00333,Fashion_Bags_Accessories,59,119,3,200,16,2,11,Soft Fashion Bags Accessories
PRD00334,Consoles_Games,53,310,1,150,19,11,11,Compact Consoles Games Bundle
PRD00335,Musical_Instruments,51,439,3,3350,30,30,30,Classic Acoustic Guitar
PRD00336,Bed_Bath_Table,64,702,1,2200,42,11,36,Eco Pillow Cover Set
PRD00337,Office_Furniture,48,489,2,30000,50,50,30,Compact Office Desk
PRD00338,Baby,59,255,2,500,30,8,35,Lightweight Swaddle Wrap
