order_id,payment_sequential,payment_type,payment_installments,payment_value
f86d7bc39aab05299691322044b63bb2,1,voucher,1,1302.42
ORDR21783,1,credit_card,10,645.8
ORDR57521,1,credit_card,1,186.39
ORDR15825,1,credit_card,10,208.41
ORDR28462,1,debit_card,1,76.39
ORDR34031,1,credit_card,2,67.42
ORDR09942,1,credit_card,4,232.05
ORDR72778,1,UPI,1,69.33
ORDR74887,1,credit_card,3,641.2
ORDR61452,1,UPI,1,41.86
ORDR39629,1,voucher,1,50.0
ORDR13804,1,credit_card,1,106.96
ORDR15536,1,credit_card,10,2288.31
ORDR42548,1,UPI,1,69.9
ORDR47524,1,UPI,1,88.08
ORDR51833,1,credit_card,4,117.39
ORDR15952,1,debit_card,1,194.91
1966886b80f14d0588adf6406afb0026,1,debit_card,1,68.89
ORDR11083,1,credit_card,2,151.51
ORDR53242,1,credit_card,1,54.85
ORDR58269,1,credit_card,1,103.68
ORDR80418,1,debit_card,1,225.63
ORDR08618,1,UPI,1,39.6
ORDR05893,1,credit_card,10,159.18
90eaac01afdf4e531a70ad869e092c75,1,credit_card,1,234.43
ORDR85994,1,UPI,1,44.83
ORDR11020,1,credit_card,4,205.44
ORDR35410,1,credit_card,1,13.55
ORDR61678,1,credit_card,1,221.96
ORDR37382,1,credit_card,1,52.38
ORDR86636,1,credit_card,9,131.47
ORDR21667,1,credit_card,2,38.06
ORDR08581,2,voucher,1,35.0
ORDR10307,1,credit_card,3,143.65
ORDR69600,1,credit_card,3,86.73
ORDR38715,1,credit_card,5,118.35
ORDR56841,1,credit_card,1,341.58
ORDR88213,1,credit_card,2,105.42
ORDR22414,1,credit_card,4,68.16
ORDR29401,1,credit_card,10,357.97
ORDR30378,3,voucher,1,2.99
ORDR94417,1,UPI,1,92.57
ORDR48265,1,credit_card,2,68.35
ORDR64722,1,credit_card,13,197.23
ORDR37976,1,credit_card,3,153.67
ORDR91497,1,credit_card,3,46.43
ORDR78142,1,credit_card,4,102.03
ORDR65871,1,credit_card,5,119.45
ORDR14698,1,credit_card,1,44.23
ORDR95540,1,credit_card,1,67.5
ORDR82301,5,voucher,1,8.75
ORDR26812,1,credit_card,2,44.27
bb2d7e3141540afc268df7ef6580fc75,1,credit_card,1,37.15
ORDR17197,1,credit_card,2,114.13
ORDR10597,1,credit_card,1,396.97
ORDR83045,1,credit_card,10,185.85
ORDR10775,1,credit_card,3,62.11
ORDR51367,1,credit_card,2,25.23
ORDR52948,1,credit_card,5,153.22
ORDR57329,1,debit_card,1,145.01
ORDR89602,1,UPI,1,70.89
ORDR10902,1,credit_card,6,114.34
ORDR92559,1,credit_card,2,31.38
ORDR64897,1,credit_card,5,256.5
ORDR04176,1,UPI,1,341.4
ORDR89621,1,credit_card,1,143.99
ORDR36071,1,voucher,1,84.88
ORDR94330,1,credit_card,8,232.27
ORDR34810,1,credit_card,5,194.0
ORDR31336,1,credit_card,1,260.57
ORDR70604,1,credit_card,1,49.59
ORDR74247,1,credit_card,3,196.55
ORDR15571,1,UPI,1,245.94
ORDR12356,2,voucher,1,72.42
ORDR11356,1,credit_card,2,217.15
ORDR03094,1,credit_card,4,152.28
ORDR25059,1,credit_card,3,72.34
ORDR92917,1,credit_card,5,128.95
ORDR65325,1,credit_card,1,56.85
ORDR41669,1,credit_card,1,20.29
ORDR38794,1,UPI,1,171.75
ORDR31897,1,credit_card,1,85.82
ORDR88854,1,UPI,1,56.05
ORDR82321,1,UPI,1,26.09
ORDR02454,1,credit_card,1,41.17
ORDR86184,1,UPI,1,37.25
ORDR55045,1,credit_card,5,135.13
ORDR90660,1,credit_card,5,477.45
ORDR70972,1,credit_card,2,440.12
ORDR57366,1,credit_card,1,67.7
ORDR74462,1,UPI,1,168.51
ORDR26527,1,UPI,1,31.86
ORDR47539,1,UPI,1,40.87
ORDR25073,1,credit_card,10,109.59
ORDR34387,1,credit_card,3,206.87
ORDR91809,1,credit_card,1,134.38
ORDR53808,1,credit_card,1,56.06
ORDR24671,1,credit_card,3,264.08
ORDR50890,1,credit_card,10,240.77
ORDR67163,1,credit_card,2,91.72
ORDR81373,1,credit_card,4,49.01
ORDR12205,1,UPI,1,107.87
ORDR80309,1,credit_card,3,62.01
ORDR36893,1,credit_card,1,36.69
ORDR93312,1,credit_card,3,35.0
ORDR26621,1,credit_card,8,256.37
ORDR85339,1,credit_card,1,47.84
ORDR18989,1,credit_card,5,125.87
ORDR84620,1,credit_card,1,42.39
ORDR07888,1,credit_card,5,117.53
ORDR49541,1,credit_card,1,43.28
ORDR33469,1,credit_card,4,144.54
ORDR33045,1,UPI,1,126.48
ORDR28984,1,credit_card,4,125.29
ORDR91915,1,credit_card,2,229.74
ORDR20631,1,credit_card,1,124.6
ORDR12235,1,UPI,1,143.86
ORDR93985,1,voucher,1,56.89
ORDR54274,1,UPI,1,46.78
ORDR26842,8,voucher,1,3.98
ORDR02011,1,credit_card,3,72.66
ORDR61270,1,UPI,1,50.1
ORDR00703,1,UPI,1,85.79
ORDR36303,1,UPI,1,63.7
ORDR11457,1,credit_card,10,1586.47
ORDR80632,1,credit_card,3,433.07
ORDR23002,1,credit_card,10,642.02
ORDR78155,1,credit_card,4,263.95
ORDR61576,1,UPI,1,134.99
ORDR44510,1,credit_card,1,57.89
ORDR91672,1,credit_card,1,383.99
ORDR59799,1,UPI,1,159.31
ORDR76853,1,credit_card,1,756.91
ORDR63883,1,credit_card,7,156.22
ORDR58564,1,credit_card,10,132.95
ORDR32382,1,UPI,1,48.27
ORDR38118,1,credit_card,5,107.35
ORDR56475,1,credit_card,10,110.2
ORDR67466,1,credit_card,8,368.92
ORDR71364,1,UPI,1,106.85
ORDR22386,1,credit_card,8,281.5
ORDR90865,1,credit_card,2,54.25
ORDR43930,1,credit_card,5,121.78
ORDR03299,1,credit_card,2,102.26
ORDR54862,1,UPI,1,90.62
ORDR86575,1,UPI,1,75.69
ORDR37377,1,debit_card,1,42.86
ORDR77272,1,credit_card,1,35.7
ORDR41095,1,credit_card,10,444.25
ORDR26228,1,credit_card,1,69.16
ORDR11601,2,voucher,1,30.0
ORDR71883,1,credit_card,2,65.71
ORDR80350,1,credit_card,1,29.29
ORDR24266,1,credit_card,1,37.74
ORDR60519,2,voucher,1,30.0
ORDR07155,1,credit_card,2,145.9
ORDR24528,1,credit_card,1,79.88
ORDR74406,1,credit_card,5,108.0
ORDR26882,1,credit_card,6,348.74
ORDR01775,1,credit_card,6,88.78
ORDR53817,1,credit_card,4,953.71
ORDR80280,1,credit_card,6,125.77
ORDR85968,1,credit_card,3,64.05
ORDR16916,1,UPI,1,127.69
ORDR20730,1,credit_card,1,62.42
ORDR91557,1,credit_card,5,55.69
ORDR56806,1,credit_card,7,146.13
ORDR90282,1,credit_card,5,349.99
ORDR09510,1,credit_card,1,91.28
ORDR66468,1,UPI,1,108.64
ef0beb334211d552bb4bbb9b43e60248,1,credit_card,2,158.98
ORDR00207,1,credit_card,1,20.75
ORDR31356,1,UPI,1,72.9
ORDR59734,1,credit_card,3,543.83
ORDR79624,1,credit_card,2,67.12
ORDR75702,1,credit_card,6,139.07
ORDR58128,1,UPI,1,126.68
ORDR53149,1,credit_card,1,41.42
ede510a059fd07ccec20bff19a227fa3,1,UPI,1,203.16
ORDR69396,1,credit_card,8,540.02
ORDR76401,1,UPI,1,368.6
ORDR34454,1,credit_card,4,107.78
ORDR59644,1,credit_card,10,387.27
ORDR57187,1,credit_card,10,107.23
ORDR08758,1,credit_card,2,101.25
ORDR94571,1,credit_card,1,26.09
ORDR80086,1,UPI,1,244.35
ORDR66992,1,credit_card,10,117.85
ORDR33411,1,credit_card,3,171.32
ORDR73960,1,credit_card,10,202.44
ORDR79395,1,UPI,1,73.03
ORDR88658,1,credit_card,4,264.67
ORDR70629,1,credit_card,1,68.7
ORDR14250,1,UPI,1,55.13
ORDR85597,1,credit_card,2,92.99
ORDR43762,1,credit_card,3,36.0
ORDR82700,1,credit_card,1,17.87
ORDR53090,1,credit_card,1,58.38
ORDR86723,2,voucher,1,50.0
ORDR13815,1,credit_card,10,1995.69
ORDR26687,1,credit_card,3,130.14
ORDR82491,1,UPI,1,710.23
ORDR74259,1,credit_card,1,68.0
ORDR38324,1,credit_card,5,59.51
ORDR40882,1,credit_card,5,371.94
ORDR23186,1,credit_card,10,667.99
ORDR40139,1,credit_card,1,63.89
61792c6272346d7f4b7c5b1747df7b1a,1,credit_card,4,49.34
ORDR21981,1,UPI,1,147.0
ORDR02123,1,credit_card,1,354.64
ORDR44201,1,credit_card,4,59.71
ORDR52191,1,credit_card,8,408.66
ORDR51317,1,credit_card,5,51.66
ORDR47824,1,credit_card,2,386.46
ORDR72814,1,credit_card,2,69.54
ORDR63803,1,credit_card,1,21.94
ORDR63543,1,credit_card,1,52.34
ORDR20287,1,credit_card,1,114.25
ORDR26580,1,credit_card,2,162.83
ORDR90292,1,credit_card,1,172.92
ORDR85848,1,credit_card,7,81.72
ORDR77840,1,credit_card,2,151.79
ORDR86427,1,credit_card,4,243.62
ORDR41879,1,UPI,1,56.42
ORDR48702,1,credit_card,4,45.13
ORDR93182,1,UPI,1,108.64
ORDR17951,1,credit_card,4,64.51
ORDR41602,1,credit_card,8,193.5
ORDR71098,1,UPI,1,110.63
968ce3e13bbc09dc91d26a2f0208d99d,1,credit_card,5,200.55
ORDR30599,1,credit_card,1,41.71
ORDR01103,1,credit_card,1,54.43
ORDR44310,1,credit_card,3,77.64
ORDR86713,1,UPI,1,280.08
ORDR74863,1,credit_card,5,101.34
ORDR27308,1,credit_card,1,77.57
ORDR37059,1,credit_card,4,60.2
ORDR47951,1,UPI,1,48.1
ORDR47568,1,UPI,1,76.02
ORDR63483,1,credit_card,2,84.56
ORDR01699,2,voucher,1,20.0
ORDR86594,1,credit_card,4,48.16
ORDR13887,1,debit_card,1,265.41
ORDR39066,1,credit_card,5,127.53
ORDR43173,1,credit_card,2,128.73
c2f065051bb7c9e7f88ebc998f332968,1,credit_card,3,37.37
ORDR23905,1,credit_card,5,150.15
ORDR36886,1,credit_card,2,36.16
ORDR69841,1,credit_card,4,198.0
ORDR36268,1,credit_card,5,112.4
ORDR02538,1,credit_card,1,35.4
ORDR02878,1,credit_card,6,189.98
ORDR72398,1,credit_card,2,228.6
ORDR13068,1,credit_card,8,314.21
ORDR13524,1,credit_card,1,22.29
ORDR50894,1,credit_card,8,257.3
ORDR19020,1,credit_card,6,162.99
ORDR40160,1,UPI,1,51.03
ORDR93332,1,credit_card,12,190.09
ORDR46602,1,credit_card,7,374.24
ORDR61515,1,credit_card,5,53.15
ORDR19589,1,credit_card,2,88.2
ORDR41335,2,voucher,1,25.9
ORDR52499,1,credit_card,1,46.81
ORDR63929,1,UPI,1,131.47
ORDR51943,1,credit_card,3,258.71
ORDR85999,1,credit_card,1,84.23
ORDR04498,1,credit_card,10,156.73
ORDR37557,1,UPI,1,69.9
ORDR48088,1,UPI,1,48.13
ORDR85852,1,credit_card,6,187.15
ORDR69905,1,credit_card,3,69.99
ORDR41609,2,voucher,1,25.0
ORDR24416,1,credit_card,2,162.1
ORDR19604,1,credit_card,1,57.11
ORDR34189,1,credit_card,1,154.87
ORDR81424,1,credit_card,4,236.81
ORDR63989,1,credit_card,1,102.53
ORDR82284,1,credit_card,3,65.1
ORDR82777,1,UPI,1,93.64
ORDR94259,1,UPI,1,64.09
ORDR28599,1,credit_card,5,279.4
ORDR91059,1,credit_card,5,205.43
ORDR56208,1,credit_card,4,89.57
ORDR44465,1,UPI,1,75.07
ORDR12379,1,credit_card,4,63.23
ORDR24098,1,credit_card,1,0.52
ORDR47411,1,credit_card,10,231.27
ORDR23988,1,UPI,1,41.69
ORDR44317,1,credit_card,4,69.41
ORDR02799,1,credit_card,1,72.75
ORDR95258,1,credit_card,2,24.29
ORDR70914,1,credit_card,5,88.49
ORDR64282,1,credit_card,7,71.66
ORDR78916,1,credit_card,2,80.81
ORDR07518,1,credit_card,2,132.82
ORDR68028,1,credit_card,7,394.07
ORDR30326,1,credit_card,2,165.5
ORDR59191,1,credit_card,2,98.47
ORDR01494,1,credit_card,2,49.77
ORDR20852,1,credit_card,8,180.91
ORDR53273,1,credit_card,4,40.63
ORDR36573,1,debit_card,1,71.63
ORDR01830,1,credit_card,5,262.94
ORDR55473,1,credit_card,3,62.22
ORDR83899,1,credit_card,5,311.57
ORDR52700,1,debit_card,1,93.22
ORDR72512,1,UPI,1,100.21
ORDR74975,1,credit_card,4,125.43
ORDR40676,1,UPI,1,80.55
ORDR09231,1,credit_card,2,373.44
ORDR59010,1,credit_card,3,62.31
ORDR32201,1,debit_card,1,36.35
ORDR11570,1,credit_card,2,29.38
ORDR48121,1,credit_card,10,102.47
ORDR22675,1,credit_card,3,130.0
ORDR94920,1,credit_card,5,69.13
ORDR21658,1,credit_card,1,86.24
ORDR13506,1,credit_card,1,74.29
ORDR14560,1,credit_card,7,70.72
ORDR55674,1,credit_card,3,199.0
ORDR07693,1,credit_card,3,340.47
ORDR73127,1,credit_card,4,48.74
ORDR16118,1,credit_card,2,28.08
ORDR90340,1,voucher,1,59.9
ORDR84030,1,credit_card,1,166.29
ORDR49827,1,UPI,1,51.1
ORDR12509,1,credit_card,1,67.83
ORDR49950,1,credit_card,3,164.35
ORDR38538,1,UPI,1,79.09
ORDR94188,1,UPI,1,93.69
ORDR09344,1,credit_card,2,59.82
ORDR47009,1,credit_card,3,159.03
ORDR36996,1,credit_card,9,92.57
ORDR16548,1,credit_card,4,42.77
ORDR07040,1,credit_card,8,453.74
ORDR57990,1,credit_card,3,234.08
ORDR88785,1,credit_card,2,67.62
ORDR08146,1,credit_card,1,19.33
ORDR71522,1,credit_card,3,143.18
ORDR73247,1,credit_card,4,112.83
ORDR14116,1,UPI,1,85.92
ORDR75442,1,credit_card,4,102.05
ORDR58942,1,credit_card,3,134.12
ORDR90529,1,credit_card,1,112.13
ORDR58310,1,credit_card,1,70.75
ORDR23146,1,credit_card,7,77.6
ORDR46314,1,credit_card,1,197.04
ORDR93731,1,credit_card,1,93.18
ORDR25771,1,UPI,1,44.72
ORDR71839,1,credit_card,1,26.38
ORDR57926,1,debit_card,1,149.14
ORDR54937,1,credit_card,4,106.32
ORDR33611,1,credit_card,8,246.96
ORDR88232,1,credit_card,1,22.29
ORDR74700,1,credit_card,3,57.48
ORDR12601,1,credit_card,4,105.28
ORDR42358,1,credit_card,8,203.54
ORDR72786,1,credit_card,2,330.4
ORDR38904,1,UPI,1,108.68
ORDR00868,1,UPI,1,415.93
ORDR94536,1,credit_card,10,314.21
ORDR61925,1,credit_card,1,206.08
ORDR20033,1,credit_card,1,27.7
ORDR31138,1,UPI,1,19.48
ORDR72205,1,credit_card,2,121.09
ORDR34776,1,credit_card,1,206.76
ORDR62909,1,credit_card,1,142.21
ORDR30312,1,UPI,1,73.34
ORDR78152,1,credit_card,1,72.62
ORDR71058,1,credit_card,1,86.24
ORDR87799,1,UPI,1,230.1
ORDR42443,1,UPI,1,206.14
ORDR40109,1,UPI,1,212.73
ORDR95740,1,credit_card,1,94.82
ORDR31525,1,UPI,1,126.44
ORDR65149,2,voucher,1,140.08
ORDR65960,1,credit_card,1,68.87
ORDR60346,1,credit_card,2,87.58
ORDR38780,1,credit_card,10,305.19
ORDR62278,1,credit_card,5,161.88
ORDR34644,1,debit_card,1,88.08
ORDR75040,1,credit_card,3,92.5
ORDR96381,1,credit_card,1,43.0
ORDR06974,1,credit_card,2,116.36
ORDR91784,1,UPI,1,64.48
ORDR68524,1,UPI,1,37.69
ORDR64371,1,credit_card,2,150.52
ORDR17808,1,credit_card,6,314.3
ORDR06614,1,credit_card,8,396.35
ORDR17778,2,debit_card,1,98.33
ORDR69897,1,credit_card,1,120.92
ORDR00480,1,credit_card,1,76.17
ORDR29716,1,credit_card,1,104.43
ORDR95418,1,credit_card,1,105.94
ORDR61167,1,credit_card,3,110.04
ORDR71095,1,UPI,1,730.95
ORDR92597,1,credit_card,4,128.77
ORDR06507,1,credit_card,8,82.1
ORDR07829,1,UPI,1,53.39
ORDR96016,1,credit_card,3,61.79
ORDR18481,1,UPI,1,86.83
ORDR66547,1,credit_card,1,45.3
ORDR15390,1,credit_card,1,25.5
ORDR70106,2,voucher,1,103.79
ORDR10512,1,credit_card,6,114.28
ORDR75788,1,credit_card,2,57.78
ORDR65964,1,credit_card,1,124.15
ORDR32341,1,credit_card,3,64.1
ORDR44224,1,credit_card,10,179.92
ORDR14604,1,UPI,1,40.01
ORDR25695,1,credit_card,5,104.27
ORDR66072,1,credit_card,8,307.96
ORDR31150,1,credit_card,2,31.29
ORDR28647,1,credit_card,1,38.13
ORDR79776,1,voucher,1,52.01
ORDR27208,1,credit_card,1,35.05
ORDR47345,1,credit_card,8,186.49
ORDR47590,1,credit_card,4,99.95
ORDR39461,1,credit_card,4,215.62
ORDR96431,1,credit_card,3,206.2
ORDR24402,1,UPI,1,55.06
ORDR72351,1,credit_card,1,21.04
ORDR67951,1,credit_card,1,26.45
ORDR95292,1,credit_card,1,127.53
ORDR88513,1,credit_card,10,223.14
ORDR63643,1,credit_card,2,56.41
ORDR75997,1,UPI,1,566.63
ORDR53086,1,credit_card,2,39.41
ORDR68376,1,credit_card,6,148.64
ORDR35678,1,credit_card,4,64.0
ORDR78631,1,credit_card,3,151.09
ORDR01423,1,UPI,1,93.91
ORDR71413,1,credit_card,2,71.14
ORDR10580,1,credit_card,3,188.06
ORDR42347,1,credit_card,2,257.21
ORDR48309,1,credit_card,4,692.94
ORDR38291,1,credit_card,8,181.1
ORDR59821,1,UPI,1,202.26
ORDR42526,1,credit_card,3,164.15
ORDR53705,1,credit_card,10,137.13
ORDR02803,1,credit_card,1,2.01
ORDR80401,1,UPI,1,272.58
ORDR23554,1,credit_card,4,87.36
ORDR87281,5,voucher,1,16.54
ORDR69898,1,credit_card,4,234.19
ORDR02543,1,UPI,1,86.37
ORDR70639,1,UPI,1,33.0
ORDR28471,1,credit_card,1,10.89
ORDR82123,1,credit_card,4,84.14
ORDR36488,1,UPI,1,43.28
ORDR01768,1,credit_card,1,47.95
ORDR78471,1,UPI,1,76.08
ORDR60578,1,UPI,1,104.37
ORDR89038,1,credit_card,1,69.61
ORDR67148,1,credit_card,3,121.09
f6cc5ac0be9196f2fb3db04bace5cd8b,1,credit_card,7,238.65
